City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Kenai,1,US,1610627355,86,60.5544,-151.2583,-2.22,5.14
1,Ucluelet,100,CA,1610627356,71,48.9329,-125.5528,8.33,1.34
2,Riberalta,90,BO,1610627356,100,-10.9833,-66.1,23,0.38
3,Rikitea,89,PF,1610627077,76,-23.1203,-134.9692,24.9,4.97
4,Mataura,47,NZ,1610627357,94,-46.1927,168.8643,15,4.47
5,Tarko-Sale,98,RU,1610627358,92,64.9225,77.785,-18.27,6.59
6,Hithadhoo,98,MV,1610627297,76,-0.6,73.0833,27.86,9.38
7,Brae,40,GB,1610627359,65,60.3964,-1.353,6,7.2
8,Santiago del Estero,99,AR,1610627060,84,-27.7951,-64.2615,24.44,1.79
9,Thompson,90,CA,1610627360,100,55.7435,-97.8558,-4,3.09
10,Cape Town,0,ZA,1610627320,45,-33.9258,18.4232,31.67,6.17
11,Hobart,75,AU,1610627326,94,-42.8794,147.3294,14.44,0.51
12,Kalmunai,11,LK,1610627178,83,7.4167,81.8167,27.02,3.34
13,Albany,99,US,1610627360,74,42.6001,-73.9662,1.11,0.95
14,Vardø,20,NO,1610627363,80,70.3705,31.1107,-2,5.68
15,Saint-Augustin,99,CA,1610627363,95,51.226,-58.6502,-5.6,2.46
16,Hilo,20,US,1610627364,64,19.7297,-155.09,20,3.09
17,São Geraldo do Araguaia,51,BR,1610627365,86,-6.4006,-48.555,25.64,2.14
18,Mount Gambier,40,AU,1610627365,71,-37.8333,140.7667,13,3.09
19,Hermanus,25,ZA,1610627366,54,-34.4187,19.2345,32.78,2.68
20,Itiruçu,67,BR,1610627267,80,-13.5317,-40.1503,21.46,1.83
21,Pouébo,100,NC,1610627367,92,-20.4,164.5667,24.83,2.9
22,San Cristobal,20,VE,1610627367,64,7.7669,-72.225,23,1.03
23,Busselton,37,AU,1610627368,58,-33.65,115.3333,20,7.03
24,Beringovskiy,88,RU,1610627368,87,63.05,179.3167,-25.99,3.03
25,Mana,64,GF,1610627369,83,5.6592,-53.7767,26.09,5.04
26,Guarapari,75,BR,1610627227,69,-20.6667,-40.4975,29.44,4.12
27,Chardara,0,KZ,1610627370,53,41.2547,67.9692,7.9,2.01
28,Tasiilaq,75,GL,1610627370,80,65.6145,-37.6368,2,5.09
29,Tuktoyaktuk,83,CA,1610627371,88,69.4541,-133.0374,-29.45,0.93
30,Aklavik,100,CA,1610627371,76,68.2191,-135.0107,-26,2.41
31,Jamestown,90,US,1610627372,93,42.097,-79.2353,1.67,2.57
32,Dikson,1,RU,1610627372,79,73.5069,80.5464,-33.13,1.43
33,Laiyang,74,CN,1610627373,89,36.9758,120.7136,2.47,3.41
34,Lorengau,82,PG,1610627373,74,-2.0226,147.2712,28.31,3.94
35,Anadyr,75,RU,1610627374,76,64.75,177.4833,-25.56,3
36,Tura,38,IN,1610627374,54,25.5198,90.2201,14.88,1.4
37,Kapaa,90,US,1610627375,78,22.0752,-159.319,22,3.6
38,Menongue,100,AO,1610627376,81,-14.6585,17.691,20.21,2.21
39,Cherskiy,68,RU,1610627377,86,68.75,161.3,-33.39,1.08
40,Atuona,17,PF,1610627378,80,-9.8,-139.0333,24.85,5.65
41,Ohafia,13,NG,1610627379,30,5.6167,7.8333,37.03,0.6
42,Saskylakh,48,RU,1610627379,75,71.9167,114.0833,-43.59,3.18
43,Qaanaaq,3,GL,1610627380,73,77.484,-69.3632,-18.14,2.3
44,Ankazoabo,48,MG,1610627380,37,-22.2833,44.5167,33.58,0.52
45,Aksu,0,CN,1610627381,74,41.1231,80.2644,-4.34,1.98
46,Bethel,75,US,1610627381,86,41.3712,-73.414,0.56,0.91
47,Grand Gaube,13,MU,1610627382,69,-20.0064,57.6608,28.89,4.02
48,Lagoa,70,PT,1610627383,90,39.05,-27.9833,16.57,7.81
49,Bereda,95,ES,1610627383,100,43.2686,-7.5406,7.78,0.89
50,Bredasdorp,75,ZA,1610627384,65,-34.5322,20.0403,26,7.2
51,Sarangani,1,PH,1610627384,69,5.4033,125.4636,28.93,0.81
52,Clyde River,1,CA,1610627385,84,70.4692,-68.5914,-22,4.12
53,Leh,98,IN,1610627385,47,34.1667,77.5833,-9.42,0.61
54,East London,90,ZA,1610627386,100,-33.0153,27.9116,22,7.2
55,Barrow,1,US,1610627387,77,71.2906,-156.7887,-23,6.69
56,Ushuaia,90,AR,1610627182,93,-54.8,-68.3,7,5.66
57,Olafsvik,42,IS,1610627388,82,64.8945,-23.7142,4.27,9.59
58,Dunedin,18,NZ,1610627212,83,-45.8742,170.5036,15.56,1.35
59,Dingle,23,PH,1610627389,87,10.9995,122.6711,23.87,4.07
60,San Patricio,1,US,1610627389,87,28.017,-97.5169,7.22,4.63
61,Richards Bay,48,ZA,1610627390,55,-28.783,32.0377,30.94,6.51
62,Ormara,70,PK,1610627390,44,25.2088,64.6357,22.28,2.51
63,Struthers,90,US,1610627391,93,41.0526,-80.6078,3.33,2.32
64,Riyadh,0,SA,1610626937,16,24.6877,46.7219,23,3.09
65,Butaritari,69,KI,1610627392,82,3.0707,172.7902,27.15,8.87
66,Kaitangata,62,NZ,1610627392,90,-46.2817,169.8464,16.11,1.79
67,Arica,0,CL,1610627375,60,-18.475,-70.3042,22,2.06
68,New Norfolk,40,AU,1610627393,53,-42.7826,147.0587,14.44,0.45
69,Blackfoot,1,US,1610627394,74,43.1905,-112.345,-3,2.06
70,Mar del Plata,0,AR,1610627323,56,-38.0023,-57.5575,21,5.14
71,Leningradskiy,100,RU,1610627395,92,69.3833,178.4167,-17.35,3.87
72,Muroto-misakicho,40,JP,1610627299,61,33.2833,134.15,9,3.09
73,Port Alfred,94,ZA,1610627396,80,-33.5906,26.891,25.06,10.21
74,Evensk,6,RU,1610627396,72,61.95,159.2333,-30,3.62
75,Río Cuarto,20,AR,1610627397,73,-33.1307,-64.3499,23.33,7.72
76,Kysyl-Syr,99,RU,1610627397,81,63.8986,122.7617,-35.89,4.08
77,Caravelas,69,BR,1610627398,67,-17.7125,-39.2481,27.33,1.81
78,Ancud,0,CL,1610627398,82,-41.8697,-73.8203,13.89,1.03
79,Am Timan,25,TD,1610627399,9,11.0297,20.2827,35.64,3.03
80,Bluff,8,NZ,1610627399,94,-46.6,168.3333,15,4.47
81,Faanui,22,PF,1610627400,78,-16.4833,-151.75,27,6.84
82,Avarua,75,CK,1610627400,83,-21.2078,-159.775,26,2.06
83,Arraial do Cabo,20,BR,1610627227,69,-22.9661,-42.0278,28,8.23
84,Pradópolis,0,BR,1610627404,83,-21.3594,-48.0656,24,2.06
85,Plettenberg Bay,13,ZA,1610627404,75,-34.0527,23.3716,24.84,6.51
86,Cayenne,90,GF,1610627408,94,4.9333,-52.3333,26,0.51
87,Dromolaxia,40,CY,1610627411,77,34.8761,33.586,15,4.12
88,Namatanai,100,PG,1610627412,77,-3.6667,152.4333,27.05,3.41
89,Wanning,0,CN,1610627413,70,18.8003,110.3967,17.11,1.9
90,Acapulco de Juárez,100,MX,1610627229,75,16.8634,-99.8901,23.69,2.27
91,Iqaluit,1,CA,1610627149,76,63.7506,-68.5145,-28,1.54
92,Port Elizabeth,75,ZA,1610627415,83,-33.918,25.5701,24,9.26
93,Saint-Joseph,75,RE,1610627416,70,-21.3667,55.6167,30,5.66
94,Winchester,75,GB,1610627416,93,51.0651,-1.3187,10,3.6
95,Noumea,90,NC,1610626947,100,-22.2763,166.4572,26.67,1.03
96,Wanaka,66,NZ,1610627418,76,-44.7,169.15,17.29,0.46
97,Bambous Virieux,40,MU,1610627418,69,-20.3428,57.7575,28.89,5.14
98,Pangnirtung,20,CA,1610627419,76,66.1451,-65.7125,-27,0.17
99,Ouargaye,0,BF,1610627419,9,11.5033,0.0572,34.97,4.9
100,Upernavik,100,GL,1610627420,96,72.7868,-56.1549,-7.14,1.18
101,Igrim,29,RU,1610627421,88,63.1906,64.4162,-21.27,2.15
102,Ribeira Grande,75,PT,1610627422,88,38.5167,-28.7,18,8.75
103,Yellowknife,90,CA,1610627422,85,62.456,-114.3525,-14,2.57
104,Fort Nelson,1,CA,1610627423,85,58.8053,-122.7002,-14,2.06
105,Turukhansk,0,RU,1610627423,82,65.8167,87.9833,-38.53,1.74
106,Nanortalik,86,GL,1610627424,95,60.1432,-45.2371,-3.19,3.12
107,Sulina,34,RO,1610627425,74,45.1559,29.6536,3.32,2.65
108,Fukuechō,100,JP,1610627425,59,32.6881,128.8419,13.76,3.59
109,São Filipe,100,CV,1610627426,65,14.8961,-24.4956,23.75,5.24
110,Kloulklubed,75,PW,1610627427,89,7.0419,134.2556,26,1.54
111,Tres Picos,2,MX,1610627427,65,15.8667,-93.5333,22.55,2.66
112,Khani,90,GE,1610627428,87,41.9563,42.9566,12,2.06
113,Havelock,75,US,1610627428,100,34.8791,-76.9013,6.11,3.6
114,Mackay,40,AU,1610627429,78,-21.15,149.2,25,4.12
115,Carnarvon,0,AU,1610627429,78,-24.8667,113.6333,27,7.2
116,Saiha,0,IN,1610627430,49,22.4833,92.9667,13.65,1.1
117,Norman Wells,90,CA,1610627430,85,65.282,-126.8329,-17,0.76
118,Cap Malheureux,4,MU,1610627431,69,-19.9842,57.6142,28.89,4.02
119,Puerto Ayora,95,EC,1610627431,97,-0.7393,-90.3518,22.78,1.79
